URL,Title,Local Identifier,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Place
https://calisphere.org/item/ark:/86086/n26971rv,"Arrival at hotel, Pittcon",pittcon_1960_b1-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n22j691j,"Setting up the convention, Pittcon",pittcon_1960_b2-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2xs5sjv,"Setting up the convention, Pittcon",pittcon_1960_b2-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2t151tt,"Setting up the convention, Pittcon",pittcon_1960_b2-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2pc30ht,"Setting up the convention, Pittcon",pittcon_1960_b2-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2jm27s3,"Setting up the convention, Pittcon",pittcon_1960_b2-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2dv1h2s,"Setting up the convention, Pittcon",pittcon_1960_b2-6-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2930rbc,"Waiting for registration to open, Pittcon",pittcon_1960_b3-1-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n25b00m1,"Waiting for registration to open, Pittcon",pittcon_1960_b3-2-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n21j97wr,"Registration opens, Pittcon",pittcon_1960_b3-3-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2ws8rdg,"Waiting to register, Pittcon",pittcon_1960_b3-4-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2s46q3s,"Registered members, Pittcon",pittcon_1960_b3-5-n,1960,,,,,,Pittsburgh (Pa.)
https://calisphere.org/item/ark:/86086/n2nc5zc2,"Woman on telephone, Pittcon",pittcon_1960_b3-6-n,1960,,,,,,Pittsburgh (Pa.)
